id_centre_desservi,annee,production,distribution,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,taux_branchement,rend_distribution,rend_adduction,organisme_distributeur,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,dr,kp,regie,cons_totale_calc,production_implied,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,id_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable_on_map,id_dr,dr_volume_produit_traite_total,dr_debit_exploitable_total,dr_taux_utilisation_mean,dr_n_installations_actives
01.405.07.15.3,2015,151855.602726964,118102.741599564,68305.0,4029.0,8191.0,0.0,,927.0,0.0,0.0,0.0,,0.850067744304429,0.681821597952621,0.77773055112041,ONEE,50.2812677747108,16.8154871456943,5.12559381370067,0.0,50.3892616100899,95.0250443063257,DR9,1.5,,80525.0,151855.60272696434,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,124695764.0,16341.84,8.909136029411766,136.0
01.405.07.15.3,2016,149428.571900097,128951.399314062,89337.0,0.0,0.0,0.0,2600.0,926.0,0.0,0.0,0.0,,0.844922274936111,0.712958529252459,0.862963472610006,ONEE,66.6268505085352,0.0,0.0,0.0,57.9328651665654,94.1604066689227,DR9,1.5,,91937.0,149428.57190009736,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,126340269.0,16341.84,12.005226715686273,136.0
01.405.07.15.3,2017,210882.058086043,194869.335745819,122260.0,3714.0,10011.0,2746.0,,931.0,0.0,0.0,0.0,,0.845131944608058,0.711918062783136,0.924067877155813,ONEE,91.7956226874169,15.2174594311562,6.35242519734528,1.7424592540116,88.03099590979,133.814054485447,DR9,1.5,,138731.0,210882.05808604343,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,133748014.0,16341.84,13.14908088235294,136.0
01.405.07.15.3,2018,208075.105860491,177593.12526335,93132.0,2015.0,23247.0,1084.0,,1037.0,3.0,18.0,0.0,,0.936393107650426,0.672762528520337,0.853504913665268,ONEE,63.5521486334213,20.2423248365783,14.8544450898903,0.692657911878569,76.3444483352654,132.956520608155,DR9,1.5,,119478.0,208075.10586049114,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,130017891.0,16341.84,13.789325980392157,136.0
01.405.07.15.3,2019,237450.543395025,200876.132286573,95318.0,5132.0,30414.0,792.0,,1050.0,1.0,14.0,3.0,,0.942990502572201,0.655408875615834,0.845970404676621,ONEE,65.0405999085017,57.9237100736582,19.5699843094644,0.509614900147819,84.7144688053804,152.788301720077,DR9,1.5,,131656.0,237450.5433950252,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,136792656.0,16341.84,13.635183823529411,136.0
01.405.07.15.3,2020,176820.178037381,154967.326864405,94524.0,520.0,5431.0,5570.0,0.0,1071.0,1.0,14.0,3.0,0.0,0.956485411973108,0.684305538113776,0.876412005600648,ONEE,64.0336260480206,7.74306352030853,3.51903962733851,3.60910527053498,68.7123103076987,114.571388957207,DR9,1.5,,106045.0,176820.17803738132,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,131950405.0,16341.84,12.636219362745098,136.0
01.405.07.15.3,2021,164523.318314432,148494.684171725,96599.0,786.0,6134.0,2556.0,0.0,1100.0,1.0,14.0,2.0,0.0,0.976749043746072,0.714335335245608,0.902575304784009,ONEE,64.5299619768233,22.0573584217394,4.0023544287478,1.66775642645572,69.2125441847771,107.349304155209,DR9,1.5,,106075.0,164523.31831443202,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,139331058.0,17106.36,10.77263986013986,139.0
01.405.07.15.3,2022,168569.164713347,157427.349475196,114978.0,951.0,2049.0,1159.0,0.0,1176.0,0.0,0.0,0.0,0.0,0.985109968202541,0.756774476589729,0.93390359822274,ONEE,76.6883208027947,41.9646962392961,1.34629784453726,0.761522304450308,78.2791050779088,110.758566671071,DR9,1.5,,119137.0,168569.16471334646,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,136328721.0,19026.36,12.922317880794703,147.0
01.405.07.15.3,2023,161540.978588979,149291.627939628,110699.0,2368.0,3730.0,8963.0,0.0,1153.0,1.0,16.0,3.0,0.0,0.98062844234494,0.842378114135483,0.924171867990737,ONEE,74.6905784767667,80.8804884548785,2.46794480526552,5.93034565404688,83.2087771340997,106.883168618278,DR9,1.5,,125760.0,161540.97858897859,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,1.405,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,DR9,145098537.0,19206.36,8.774057734204794,149.0
035510101,1994,211302.0,200819.0,74928.0,10950.0,31776.0,2457.0,0.0,826.0,,,,,0.391799797400976,0.598105756925391,0.950388543411799,ONEE,53.6336013081096,5.04922338149165,8.91161165386174,0.689068159413969,33.6852526232687,59.2598617096014,DR1,1.3,,120111.0,211302.00000000006,Akka,Urbain,09.551.01.01,Akka,Tata,9.551,09,Souss-Massa,SRM SM,DR1,Commune,URB,5575.0,1337.0,True,,,,,
