id_centre_desservi,annee,distribution,production,cons_pop_branchee,cons_bf,cons_administrative,cons_industrielle,cons_autres,dot_pop_branchee,dot_bf,dot_administrative,dot_industrielle,dot_globale_nette,dot_globale_brute,rend_distribution,rend_adduction,taux_branchement,nbre_abonnes_particuliers,nbre_bf,abon_administratifs,abon_industrielle,autres_abonnes,dr,kp,regie,organisme_distributeur,consommation_totale,lib_centre_uniformise,milieu,code_commune,lib_commune,lib_province,code_region_12,libelle_region,srm,id_dr_admin,type_centre,sa_centre,population_2024,menages_2024,mappable,systeme_aep,n_installations_centre,capacite_equipee_centre,capacite_exploitable_centre,population_interp,pop_multi_ancre,dr_volume_produit_traite,dr_debit_exploitable,dr_n_installations
01.405.07.15.3,2015,118102.741599564,151855.602726964,68305.0,4029.0,8191.0,0.0,,50.2812677747108,16.8154871456943,5.12559381370067,0.0,50.3892616100899,95.0250443063257,0.681821597952621,0.77773055112041,0.850067744304429,927.0,0.0,0.0,0.0,,DR9,1.5,,ONEE,80525.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,8524.884654616482,1,124695764.0,83314.08,136.0
01.405.07.15.3,2016,128951.399314062,149428.571900097,89337.0,0.0,0.0,0.0,2600.0,66.6268505085352,0.0,0.0,0.0,57.9328651665654,94.1604066689227,0.712958529252459,0.862963472610006,0.844922274936111,926.0,0.0,0.0,0.0,,DR9,1.5,,ONEE,91937.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,7861.5249991043065,1,126340269.0,84338.16,136.0
01.405.07.15.3,2017,194869.335745819,210882.058086043,122260.0,3714.0,10011.0,2746.0,,91.7956226874169,15.2174594311562,6.35242519734528,1.7424592540116,88.03099590979,133.814054485447,0.711918062783136,0.924067877155813,0.845131944608058,931.0,0.0,0.0,0.0,,DR9,1.5,,ONEE,138731.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,7249.784344949871,1,133748014.0,86733.72,136.0
01.405.07.15.3,2018,177593.12526335,208075.105860491,93132.0,2015.0,23247.0,1084.0,,63.5521486334213,20.2423248365783,14.8544450898903,0.692657911878569,76.3444483352654,132.956520608155,0.672762528520337,0.853504913665268,0.936393107650426,1037.0,3.0,18.0,0.0,,DR9,1.5,,ONEE,119478.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,6685.645985259669,1,130017891.0,86493.84,136.0
01.405.07.15.3,2019,200876.132286573,237450.543395025,95318.0,5132.0,30414.0,792.0,,65.0405999085017,57.9237100736582,19.5699843094644,0.509614900147819,84.7144688053804,152.788301720077,0.655408875615834,0.845970404676621,0.942990502572201,1050.0,1.0,14.0,3.0,,DR9,1.5,,ONEE,131656.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,6165.4057711875,1,136792656.0,88773.84,136.0
01.405.07.15.3,2020,154967.326864405,176820.178037381,94524.0,520.0,5431.0,5570.0,0.0,64.0336260480206,7.74306352030853,3.51903962733851,3.60910527053498,68.7123103076987,114.571388957207,0.684305538113776,0.876412005600648,0.956485411973108,1071.0,1.0,14.0,3.0,0.0,DR9,1.5,,ONEE,106045.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,5685.647790385621,1,131950405.0,88905.84,136.0
01.405.07.15.3,2021,148494.684171725,164523.318314432,96599.0,786.0,6134.0,2556.0,0.0,64.5299619768233,22.0573584217394,4.0023544287478,1.66775642645572,69.2125441847771,107.349304155209,0.714335335245608,0.902575304784009,0.976749043746072,1100.0,1.0,14.0,2.0,0.0,DR9,1.5,,ONEE,106075.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,5243.221938025106,1,139331058.0,107745.84,139.0
01.405.07.15.3,2022,157427.349475196,168569.164713347,114978.0,951.0,2049.0,1159.0,0.0,76.6883208027947,41.9646962392961,1.34629784453726,0.761522304450308,78.2791050779088,110.758566671071,0.756774476589729,0.93390359822274,0.985109968202541,1176.0,0.0,0.0,0.0,0.0,DR9,1.5,,ONEE,119137.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,4835.223233116097,1,136328721.0,111057.84,147.0
01.405.07.15.3,2023,149291.627939628,161540.978588979,110699.0,2368.0,3730.0,8963.0,0.0,74.6905784767667,80.8804884548785,2.46794480526552,5.93034565404688,83.2087771340997,106.883168618278,0.842378114135483,0.924171867990737,0.98062844234494,1153.0,1.0,16.0,3.0,0.0,DR9,1.5,,ONEE,125760.0,Sidi Redouane,Urbain,01.405.07.15,Sidi Redouane,Ouezzane,01,Tanger-Tetouan-Al Hoceima,SRM TTA,DR9,CU,URB,4112.0,1124.0,True,,,,,4458.972744318291,1,145098537.0,108795.84,149.0
035510101,1994,200819.0,211302.0,74928.0,10950.0,31776.0,2457.0,0.0,53.6336013081096,5.04922338149165,8.91161165386174,0.689068159413969,33.6852526232687,59.2598617096014,0.598105756925391,0.950388543411799,0.391799797400976,826.0,,,,,DR1,1.3,,ONEE,120111.0,Akka,Urbain,09.551.01.01,Akka,Tata,09,Souss-Massa,SRM SM,DR1,Commune,URB,5575.0,1337.0,True,,,,,6519.0,1,,,
