id_centre_desservi,annee,type_consommation,consommation,dotation
035510103,2004,Population branchée,111419.0,47.5194466481729
035510103,2005,Administrative,29992.0,11.7189364379894
035510103,2005,Autres,0.0,
035510103,2005,Bornes Fontaines,0.0,0.0
035510103,2005,Industrielle,4391.0,1.71571918842396
035510103,2005,Population branchée,110372.0,46.2991476880177
035510103,2006,Administrative,45023.0,17.7859805559223
035510103,2006,Autres,0.0,
035510103,2006,Bornes Fontaines,3847.0,34.6245391750354
035510103,2006,Industrielle,9947.0,3.92948378805854
035510103,2006,Population branchée,107109.0,44.2549873955543
035510103,2007,Administrative,37698.0,15.0564402696101
035510103,2007,Autres,0.0,
035510103,2007,Bornes Fontaines,18986.0,270.305708116924
035510103,2007,Industrielle,5076.0,2.02733542385646
035510103,2007,Population branchée,114362.0,46.9940893931995
035510103,2008,Administrative,38403.0,15.5070704488057
035510103,2008,Autres,0.0,
035510103,2008,Bornes Fontaines,0.0,0.0
035510103,2008,Industrielle,7149.0,2.88675485348833
035510103,2008,Population branchée,109144.0,45.0863048739557
035510103,2009,Administrative,24534.0,10.0159830436658
035510103,2009,Autres,0.0,
035510103,2009,Bornes Fontaines,0.0,0.0
035510103,2009,Industrielle,4204.0,1.71627915201642
035510103,2009,Population branchée,92280.0,38.7700551950259
035510103,2010,Administrative,25382.0,10.4763903432663
035510103,2010,Autres,0.0,
035510103,2010,Bornes Fontaines,0.0,0.0
035510103,2010,Industrielle,3108.0,1.28282330733873
035510103,2010,Population branchée,93975.0,39.7756372467823
035510103,2011,Administrative,27712.0,11.5641659210533
035510103,2011,Autres,0.0,
035510103,2011,Bornes Fontaines,0.0,0.0
035510103,2011,Industrielle,7072.0,2.95113241172376
035510103,2011,Population branchée,98343.0,42.057427914622
035510103,2012,Administrative,27782.0,11.7211591538786
035510103,2012,Autres,0.0,
035510103,2012,Bornes Fontaines,0.0,0.0
035510103,2012,Industrielle,4467.0,1.88461658413273
035510103,2012,Population branchée,101067.0,43.5448395310932
035510103,2013,Administrative,18811.0,8.0237899593649
035510103,2013,Autres,148.0,
035510103,2013,Bornes Fontaines,0.0,0.0
035510103,2013,Industrielle,4730.0,2.01757091636787
035510103,2013,Population branchée,100601.0,43.6465198570588
035510103,2014,Administrative,22837.0,9.84843747641606
035510103,2014,Autres,5.0,
035510103,2014,Bornes Fontaines,0.0,0.0
035510103,2014,Industrielle,4290.0,1.85005897332508
035510103,2014,Population branchée,106043.0,47.2097099516972
035510103,2015,Administrative,15939.0,
035510103,2015,Autres,0.0,
035510103,2015,Bornes Fontaines,0.0,
035510103,2015,Industrielle,3204.0,
035510103,2015,Population branchée,110219.0,
035510103,2016,Administrative,15880.0,
035510103,2016,Autres,0.0,
035510103,2016,Bornes Fontaines,0.0,
035510103,2016,Industrielle,1182.0,
035510103,2016,Population branchée,112166.0,
035510103,2017,Administrative,21042.0,
035510103,2017,Autres,0.0,
035510103,2017,Bornes Fontaines,0.0,
035510103,2017,Industrielle,1193.0,
035510103,2017,Population branchée,115322.0,
035510103,2018,Administrative,23589.0,
035510103,2018,Autres,0.0,
035510103,2018,Bornes Fontaines,0.0,
035510103,2018,Industrielle,1972.0,
035510103,2018,Population branchée,115732.0,
035510103,2019,Administrative,22791.0,
035510103,2019,Autres,0.0,
035510103,2019,Bornes Fontaines,0.0,
035510103,2019,Industrielle,961.0,
035510103,2019,Population branchée,123542.0,
035510103,2020,Administrative,33905.0,
035510103,2020,Autres,0.0,
035510103,2020,Bornes Fontaines,0.0,
035510103,2020,Industrielle,1527.0,
035510103,2020,Population branchée,132763.0,
035510103,2021,Administrative,41543.0,
035510103,2021,Autres,0.0,
035510103,2021,Bornes Fontaines,0.0,
035510103,2021,Industrielle,1486.0,
035510103,2021,Population branchée,127616.0,
035510103,2022,Administrative,59453.0,
035510103,2022,Autres,0.0,
035510103,2022,Bornes Fontaines,0.0,
035510103,2022,Industrielle,1208.0,
035510103,2022,Population branchée,123872.0,
035510103,2023,Administrative,43471.0,
035510103,2023,Autres,0.0,
035510103,2023,Bornes Fontaines,0.0,
035510103,2023,Industrielle,1756.0,
035510103,2023,Population branchée,119869.0,
035510103,2024,Administrative,,
035510103,2024,Autres,,
035510103,2024,Bornes Fontaines,,
035510103,2024,Industrielle,,
035510103,2024,Population branchée,,
035510105,1994,Administrative,17146.0,4.74354664907133
035510105,1994,Autres,0.0,
035510105,1994,Bornes Fontaines,778.0,0.383157801422806
035510105,1994,Industrielle,5112.0,1.41426632859283
035510105,1994,Population branchée,55142.0,34.809671106622
035510105,1995,Administrative,14721.0,4.08405628161138
035510105,1995,Autres,0.0,
035510105,1995,Bornes Fontaines,1044.0,0.504834102945806
035510105,1995,Industrielle,5822.0,1.61520111891457
035510105,1995,Population branchée,49390.0,32.1445136429955
035510105,1996,Administrative,10868.0,3.02355647297445
035510105,1996,Autres,0.0,
035510105,1996,Bornes Fontaines,363.0,0.176669877738546
035510105,1996,Industrielle,5114.0,1.42275191413244
035510105,1996,Population branchée,47229.0,30.672904217577
035510105,1997,Administrative,14684.0,4.09663130973452
035510105,1997,Autres,0.0,
035510105,1997,Bornes Fontaines,633.0,0.309292191166253
035510105,1997,Industrielle,6956.0,1.94062703558386
