centre_id,pop_1994,pop_2004
0646103252,,11969.0
0646103253,,3638.0
064610327,9522.0,9747.0
064610329,9109.0,8903.0
064610331,8342.0,8367.0
064610333,16785.0,18687.0
064610501,8931.0,8680.0
064610511,16344.0,16191.0
064610513,8358.0,9495.0
064610515,14645.0,17538.0
0646105252,,19286.0
0646105253,,7149.0
064610527,5534.0,5933.0
064610529,9732.0,10983.0
0646105312,,14286.0
0646105313,,8140.0
0646105332,,15973.0
0646105333,,3243.0
064610535,10294.0,10039.0
064610701,5318.0,5166.0
064610703,12460.0,12722.0
064610705,15998.0,17632.0
064610707,10003.0,10262.0
064610709,6836.0,7482.0
064610711,5783.0,5779.0
064610713,8418.0,7402.0
064610715,4669.0,3609.0
064610717,10271.0,10844.0
064610719,8374.0,8683.0
064610721,5606.0,4832.0
0646108032,,25693.0
0646108033,,10373.0
064610805,5718.0,6024.0
064610807,9630.0,11511.0
064610809,11680.0,13351.0
064610817,7591.0,7884.0
064610819,7936.0,7635.0
064610821,5697.0,6122.0
064610823,7602.0,7562.0
064610901,12330.0,14367.0
064610903,10633.0,11957.0
064610905,9861.0,9312.0
0646109072,,9449.0
0646109073,,1890.0
064610909,5954.0,5722.0
064610911,7457.0,7202.0
064610913,8021.0,8752.0
064610915,10938.0,10194.0
064610917,7647.0,7170.0
0646109192,,7324.0
0646109193,,2396.0
064610921,7215.0,6774.0
064610923,8984.0,8510.0
064610925,13540.0,13273.0
064610927,9947.0,10414.0
064610929,8396.0,7973.0
064610931,11271.0,11815.0
070410101,12162.0,20005.0
070410301,8834.0,9905.0
070410303,6113.0,6967.0
070410305,16210.0,19239.0
070410307,6898.0,8112.0
070410309,17307.0,19286.0
0704103112,,21938.0
0704103113,,867.0
070410313,11485.0,12454.0
0704103152,,19663.0
0704103153,,986.0
070410317,10347.0,10325.0
070410319,11216.0,12245.0
070410321,14156.0,14583.0
070410323,22056.0,21106.0
070410325,20939.0,22353.0
070410327,11057.0,11458.0
070410329,18239.0,19154.0
070410501,4527.0,4222.0
0704105032,,2928.0
0704105033,,10783.0
070410505,4143.0,4173.0
070410507,6599.0,6314.0
070410509,6202.0,5762.0
0704105112,,2658.0
0704105113,,3348.0
070410513,6058.0,6133.0
070410515,5660.0,5557.0
070410517,6224.0,6540.0
070410519,3896.0,3889.0
070410701,4332.0,4608.0
070410703,16253.0,18674.0
070410705,5126.0,5619.0
070410707,6305.0,6641.0
070410709,5594.0,5537.0
070410711,6435.0,6916.0
070410713,7390.0,7702.0
0704109012,,7706.0
0704109013,,3273.0
070410903,3798.0,4440.0
